Taxon,Subtaxon,Family,Scientific Name,Common Name,ESA,MESA,IUCN,RSGCN,G-Rank,S-Rank,USFWS,SGCN,BHHA,Priority at-risk Species,Thresholds,CCVA,Threats,Description of Threats,Pop. Trend,Other,CCVA Source,Total # of Conservation Sources,Total # of Climate Sources
Bird,Seabird,Alcidae,Cepphus grylle,Black guillemot,NA,NA,LC,NA,G5,S4,NA,N,N,N,N,NA,BIO;INV;POL,"Fishing & harvesting aquatic resources, invasive non-native/alien species/diseases, industrial & military effluents, and agricultural & forestry effluents",Unknown,NA,NA,3,1
Bird,Seabird,Procellariidae,Puffinus puffinus,Manx shearwater,NA,NA,LC,NA,G5,SX,NA,Y,N,N,N,NA,BIO;INV;POL,"Hunting & trapping terrestrial animals, invasive non-native/alien species/diseases, and excess energy",Unknown,NA,NA,2,1
Mammal,Seal,Phocidae,Pagophilus groenlandicus,Harp Seal,NA,NA,LC,NA,G5,NA,NA,N,N,NA,N,NA,BIO;INV;POL;CC,"Fishing & harvesting aquatic resources, problematic native species/diseases, viral/prion-induced diseases, industrial & military effluents, agricultural & forestry effluents, and habitat shifting & alteration",Increasing,NA,NA,2,1
Mammal,Seal,Phocidae,Halichoerus grypus,Gray Seal,NA,NA,LC,NA,G5,S4,NA,N,N,NA,N,NA,BIO;POL;CC,"Fishing & harvesting aquatic resources, industrial & military effluents, agricultural & forestry effluents, and habitat shifting & alteration",Increasing,NA,NA,3,1
Mammal,Dolphin,Delphinidae,Lagenorhynchus acutus,Atlantic White-Sided Dolphin,NA,NA,LC,NA,G5,S4,NA,N,N,NA,N,NA,BIO;POL;CC,"Fishing & harvesting aquatic resources, garbage & solid waste, habitat shifting & alteration",Unknown,NA,NA,3,1
Bird,Gull,Laridae,Larus fuscus,Lesser black-backed gull,NA,NA,LC,NA,G5,S1,NA,N,N,N,N,NA,BIO;POLL,Hunting & trapping terrestrial animals and agricultural & forestry effluents,Increasing,NA,NA,3,1
Mammal,Whale,Balaenopteridae,Balaenoptera physalus,Fin Whale,E,E,VU,VH,G3,S2,NA,Y,N,NA,N,NA,BIO;TRA,Fishing & harvesting aquatic resources and shipping lanes,Increasing,NA,NA,6,1
Mammal,Whale,Balaenidae,Eubalaena glacialis,North Atlantic Right Whale,E,E,CR,VH,G1,S1,NA,N,N,NA,N,NA,BIO;TRA;POL,"Fishing & harvesting aquatic resources, shipping lanes, and excess energy",Decreasing,NA,NA,4,1
Mammal,Whale,Balaenopteridae,Megaptera novaeangliae,Humpback Whale,NA,E,LC,VH,G4,S2,NA,Y,N,NA,N,NA,BIO;TRA;POL;EN,"Fishing & harvesting aquatic resources, shipping lanes, excess energy, and oil & gas drilling",Increasing,NA,NA,5,1
Bird,Shorebird,Ardeidae,Ardea alba,Great egret,NA,NA,LC,NA,G5,S2,NA,Y,N,N,N,NA,CC,Habitat shifting & alteration,Unknown,NA,NA,3,1
