Taxon,Subtaxon,Family,Scientific Name,Common Name,ESA,MESA,IUCN,RSGCN,G-Rank,S-Rank,USFWS,SGCN,BHHA,Priority at-risk Species,Thresholds,CCVA,Threats,Description of Threats,Pop. Trend,Other,CCVA Source,Total # of Conservation Sources,Total # of Climate Sources
Invertebrate,,Spionidae,Dipolydora quadrilobata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Tubulariidae,Ectopleura crocea,Tubularian hydroid,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Tubulariidae,Ectopleura larynx,Ringed tubularia,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Idoteidae,Edotia triloba,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Electridae,Einhornia crustulenta,Sea mat,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Electridae,Electra pilosa,Hairy sea mat,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Enchytraeidae,Enchytraeus albidus,White worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Pharidae,Ensis ensis,Sword razor,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Pharidae,Ensis leei,Atlantic jackknife clam / razor clam,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Phyllodocidae,Eteone longa,Bristle worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Thoridae,Eualus pusiolus,Doll eualid shrimp,NA,NA,NA,NA,G5,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,1,0
Invertebrate,,Eudendriidae,Eudendrium dispar,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Phyllodocidae,Eumida sanguinea,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Euplanidae,Euplana gracilis,Sleder flatworm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Naticidae,Euspira heros,Northern moon snail,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Naticidae,Euspira triseriata,spotted moonsnail,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Rissoidae,Frigidoalvania carinata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Gammaridae,Gammarus mucronatus,Scud,NA,NA,NA,NA,NA,NA,NA,N,,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Gammaridae,Gammarus oceanicus,Scud/Sideswimmers,NA,NA,NA,NA,NA,NA,NA,N,,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nephtheidae,Gersemia rubiformis,Sea strawberry,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Mytilidae,Geukensia demissa,Ribbed mussel,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Callianassidae,Gilvossius setimanus,Short-browed mud shrimp,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Planorbidae,Gyraulus parvus,ash gryo,NA,NA,LC,NA,G5,S4,NA,N,N,NA,N,NA,NA,NA,Stable,NA,NA,3,0
Invertebrate,,Halichondriidae,Halichondria bowerbanki,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Halichondriidae,Halichondria panicea,Breadcrumb sponge,NA,NA,NA,NA,G5,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,1,0
Invertebrate,,Haminoeidae,Haminella solitaria,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Polynoidae,Harmothoe extenuata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Polynoidae,Harmothoe imbricata,Scale worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Phoxocephalidae,Harpinia propinqua,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Echinasteridae,Henricia sanguinolenta,Blood star,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Anomiidae,Heteranomia squamula,Prickly jingle scallop,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Mysidae,Heteromysis formosa,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Hiatellidea,Hiatella arctica,Wrinkled rock borer,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Hydractiniidae,Hydractinia echinata,Snailfur,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Idoteidae,Idotea balthica,Baltic isopod,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Idoteidae,Idotea phosphorea,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nassariidae,Ilyanassa obsoleta,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nassariidae,Ilyanassa trivittata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Isodictyidae,Isodictya palmata,,NA,NA,NA,NA,G5,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,1,0
Invertebrate,,Janiridae,Jaera albifrons,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Ischyroceridae,Jassa marmorata,Tube building amphipod,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Membraniporidae,Jellyella tuberculata,Bryozoan,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Littorinidae,Lacuna vincta,Northern lacuna,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Orbiniidae,Leitoscoloplos fragilis,Segmented worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Orbiniidae,Leitoscoloplos robustus,Segmented worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Polynoidae,Lepidonotus squamatus,Twelve-scaled worm,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Corophiidae,Leptocheirus pinguis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Leucosoleniidae,Leucosolenia botryoides,,NA,NA,NA,NA,G5,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,1,0
Invertebrate,,Epialtidae,Libinia emarginata,Spider crab,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Tellinidae,Limecola balthica,Baltic macoma,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Lineidae,Lineus ruber,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Littorinidae,Littorina obtusata,Smooth periwinkle,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Littorinidae,Littorina saxatilis,Rough periwinkle,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Amnicolidae,Lyogyrus granum,squat duskysnail,NA,NA,LC,NA,G5,SNR,NA,N,N,NA,N,NA,NA,NA,Stable,NA,NA,2,0
Invertebrate,,Lyonsiidae,Lyonsia hyalina,Glassy lyonsia,NA,NA,NA,NA,G5,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,1,0
Invertebrate,,Tellinidae,Macoma calcarea,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Tellinidae,Macoma nasuta,Bent nosed clam,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Enchytraeidae,Marionina southerni,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Capitellidae,Mediomastus californiensis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Ellobiidae,Melampus bidentatus,Coffee bean snail,NA,NA,NA,NA,G5,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,1,0
Invertebrate,,Melitidae,Melita nitida,Gammarid amphipod,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Metridinidae,Metridia longa,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Metridinidae,Metridia lucens lucens,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Metridiidae,Metridium senile,Clonal plumose anemone/Frilled anemone,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Mytilidae,Modiolus modiolus,Northern Horse Mussel,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Corophiidae,Monocorophium insidiosum,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Mysidae,Neomysis americana,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nephtyidae,Nephtys caeca,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nephtyidae,Nephtys ciliata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nephtyidae,Nephtys incisa,Cat worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nephtyidae,Nephtys pente,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Lumbrineridae,Ninoe nigripes,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Muricidae,Nucella lapillus,Atlantic Dog Whelk,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,Declining,NA,0,0
Invertebrate,,Campanulariidae,Obelia dichotoma,Sea plume,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Campanulariidae,Obelia geniculata,Knotted thread hydroid,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Oithonidae,Oithona similis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Onchidorididae,Onchidoris bilamellata,Rough-mantled doris,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Onchidorididae,Onchidoris muricata,Fuzzy onchidoris,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Opheliidae,Ophelina acuminata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Ophiopholidae,Ophiopholis aculeata,Daisy brittle star,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Talitridae,Orchestia grillus,Beach hopper,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Tryphosidae,Orchomenella minuta,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Ovalipidae,Ovalipes ocellatus,Lady crab,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Paguridae,Pagurus acadianus,Acadian hermit crab,NA,NA,NA,NA,G5,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,1,0
Invertebrate,,Paguridae,Pagurus longicarpus,Long-clawed hermit crab,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Paguridae,Pagurus pollicaris,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Palaemonidae,Palaemon pugio,Daggerblade grass shrimp,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Polynoidae,Palio dubia,Nudibranch,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Pandalidae,Pandalus montagui,,NA,NA,NA,NA,G5,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,1,0
Invertebrate,,Phyllodocidae,Paranaitis speciosa,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Syllidae,Parexogone hebes,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Pectinariidae,Pectinaria gouldii,Ice Cream Cone worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Golfingiidae,Phascolopsis gouldii,Peanut worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Flabelligeridae,Pherusa affinis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Photidae,Photis pollex,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Phyllodocidae,Phyllodoce arenae,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Phyllodocidae,Phyllodoce maculata,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Talitridea,Platorchestia platensis,Sand flea,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Terebellidae,Polycirrus eximius,Bristle worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Pontogeneiidae,Pontogeneia inermis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Spionidae,Prionospio steenstrupi,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Hyalidae,Ptilohyale plumulosus,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Unionidae,Pyganodon cataracta,Eastern floater,NA,NA,NA,NA,G5,S5,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,2,0
Invertebrate,,Rhincalanidae,Rhincalanus cornutus,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Pyramidellidae,Sayella fusca,Brown sayella,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Lumbrineridae,Scoletoma verrilli,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Archaeobalanidae,Semibalanus balanoides,Northern rock barnacle,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Solasteridae,Solaster endeca,Purple sunstar,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Spionidae,Spio filicornis,Bristleworm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Spionidae,Spio setosa,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Spionidae,Spiophanes bombyx,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Serpulidae,Spirorbis spirorbis,Sinistral spiral tubeworm/Calcareous tubeworm,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Spionidae,Streblospio benedicti,Bar gilled mud worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Lottidae,Testudinalia testudinalis,Common Tortoiseshell Limpet,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Cirratulidae,Tharyx acutus,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Tiaropsidae,Tiaropsis multicirrata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nassariidae,Tritia obsoleta,Mud snail,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nassariidae,Tritia trivittata,Threeline mud snail,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Naididae,Tubificoides benedii,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Tubulariidae,Tubularia crocea,Tubular hydroid,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Talitridae,Uhlorchestia uhleri,Beachhopper,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Unciolidae,Unciola irrorata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Xylophagaidae,Xylonora atlantica,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Bird,Shorebird,Phalacrocoracidae,Phalacrocorax auritus,Double-crested cormorant,NA,NA,LC,NA,NA,NA,NA,Y,Y,N,N,NA,POL,Agricultural & forestry effluents,Increasing,Only a few breeding colonies left,NA,1,1
Bird,Shorebird,Strigidae,Bubo scandiacus,Snowy owl,NA,NA,VU,NA,G4,S2,NA,N,N,N,N,NA,TRA;BIO;CC,"Roads & railroads, utility & service lines, flight paths, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, and habitat shifting & alteration",Decreasing,NA,NA,3,1
Fish,,Labridae,Tautoga onitis,Tautog,NA,NA,VU,NA,NA,NA,NA,N,Y,N,N,VH,BIO;DIS,Fishing & harvesting aquatic resources and recreational activities,Decreasing,NA,Hare et al. 2016 NEVA,1,2
Invertebrate,,Limulidae,Limulus polyphemus,Atlantic Horseshoe crab,NA,NA,VU,NA,G5,NA,NA,N,Y,NA,N,VH,BIO;NAT;CC,"Fishing & harvesting aquatic resources, ecosystem modifications, habitat shifting & alteration",Decreasing,NA,Hare et al. 2016 NEVA,2,2
Fish,,Clupeidae,Alosa sapidissima,American Shad,NA,NA,LC,VH,G5,S3,NA,Y,Y,N,N,VH,BIO;NAT;POL,"Fishing & harvesting aquatic resources, dams & water management/use, domestic & urban waste water, industrial & military effluents, and agricultural & forestry effluents",Unknown,NA,Hare et al. 2016 NEVA,4,2
Fish,,Moronidae,Morone saxatilis,Striped Bass,NA,NA,LC,NA,G5,S5,NA,N,Y,N,N,VH,BIO;NAT;POL,"Fishing & harvesting aquatic resources, dams & water management/use, domestic & urban waste water, and industrial & military effluents",Unknown,NA,Hare et al. 2016 NEVA,3,2
Invertebrate,,Ostreidae,Crassostrea virginica,Eastern oyster,NA,NA,NA,NA,G3,NA,NA,N,Y,NA,Y,VH,NA,NA,NA,NA,Hare et al. 2016 NEVA,1,2
Invertebrate,,Myidae,Mya arenaria,Softshell clam,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,Y,VH,NA,NA,NA,NA,Hare et al. 2016 NEVA,0,2
Fish,,Osmeridae,Osmerus mordax,Rainbow Smelt,NA,NA,LC,NA,G5,S3,NA,N,Y,N,N,VH,NA,NA,Unknown,NA,Hare et al. 2016 NEVA,3,1
Fish,,Pleuronectidae,Pseudopleuronectes americanus,Winter Flounder,NA,NA,NA,NA,G5,NA,NA,N,Y,N,N,VH,NA,NA,NA,NA,Hare et al. 2016 NEVA,1,1
Invertebrate,,Arcticidae,Arctica islandica,Ocean quahog,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,VH,NA,NA,NA,NA,Hare et al. 2016 NEVA,0,1
Invertebrate,,Pectinidae,Argopecten irradians,Bay Scallop,NA,NA,NA,NA,G5,NA,NA,N,N,NA,N,VH,NA,NA,NA,NA,Hare et al. 2016 NEVA,1,1
Invertebrate,,Veneridae,Mercenaria mercenaria,Northern quahog,NA,NA,NA,NA,G5,NA,NA,N,N,NA,N,VH,NA,NA,NA,NA,Hare et al. 2016 NEVA,1,1
Invertebrate,,Mytilidae,Mytilus edulis,Blue mussel,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,VH,NA,NA,NA,NA,Hare et al. 2016 NEVA,0,1
Fish,,Clupeidae,Alosa pseudoharengus,Alewife,NA,NA,LC,H,G5,S3,13,Y,Y,Y,N,VH,NAT,Dams & water management/use,Unknown,NA,Hare et al. 2016 NEVA,5,2
Fish,,Clupeidae,Alosa aestivalis,Blueback Herring,NA,NA,VU,H,G3,S3,46,Y,Y,Y,N,VH,NAT;POL,"Dams & water management/use, domestic & urban waste water, industrial & military effluents, and agricultural & forestry effluents",Decreasing,NA,Hare et al. 2016 NEVA,5,2
