"Taxon","Subtaxon","Family","Scientific.Name","Common.Name","ESA","MESA","IUCN","RSGCN","G.Rank","S.Rank","USFWS","SGCN","BHHA","Priority.at.risk.Species","Thresholds","CCVA","Threats_CC","Threats","Description.of.Threats","Pop..Trend","Other","CCVA.Source","Total...of.Conservation.Sources","Total...of.Climate.Sources","Conservation.Rank","Climate.Rank"
"Bird","Shorebird","Podicipedidae","Podiceps auritus","Horned grebe",NA,NA,3,NA,1,1,NA,"N","N","N",NA,NA,2,"DEV;AG;BIO;DIS;NAT;INV;POL;CC","Housing & urban areas, annual & perennial non-timber crops, wood & pulp plantations, fishing & harvesting aquatic resources, recreational activities, work & other activities, dams & water management/use, invasive non-native/alien species/diseases, problematic native species/diseases, industrial & military effluents, agricultural & forestry effluents, and habitat shifting & alteration","Decreasing",NA,NA,3,1,1.66666666666667,2
"Bird","Seaduck","Anatidae","Bucephala islandica","Barrow's goldeneye",NA,NA,1,NA,1,4,NA,"N","N","N",NA,NA,2,"DEV;AG;BIO;NAT;INV;POL;CC","Tourism & recreation areas, wood & pulp plantations, hunting & trapping terrestrial animals, fire & fire suppression, invasive non-native/alien species/diseases, problematic native species/diseases, industrial & military effluents, and habitat shifting & alteration","Stable",NA,NA,3,1,2,2
"Bird","Shorebird","Charadriidae","Pluvialis squatarola","Black-bellied plover",NA,NA,1,NA,1,2,NA,"N","N","N",NA,NA,2,"DEV;AG;DIS;CC","Housing & urban areas, commercial & industrial areas, marine & freshwater aquaculture, recreational activities, and habitat shifting & alteration","Decreasing",NA,NA,3,1,1.33333333333333,2
"Bird","Shorebird","Scolopacidae","Gallinago delicata","Wilson's snipe",NA,NA,1,4,1,5,NA,"Y","","N",NA,NA,NA,"DEV;AG;EN","Housing & urban areas, commercial & industrial areas, annual & perennial non-timber crops, and mining & quarrying","Increasing","MA Breeding Bird Atlas says local and likely increasing; also increasing on MA Breeding Bird Survey routes, but habitat is still very limited",NA,4,1,2.75,NA
"Bird","Seabird","Procellariidae","Calonectris diomedea","Scopoli's shearwater",NA,NA,1,NA,1,3,NA,"Y","N","N",NA,NA,NA,"DEV;BIO;INV;POL","Housing & urban areas, fishing & harvesting aquatic resources, invasive non-native/alien species/diseases, and excess energy","Decreasing",NA,NA,3,1,1.66666666666667,NA
"Bird","Tern","Laridae","Sternula antillarum","Least tern",NA,3,1,5,2,4,NA,"Y","N","N",NA,NA,2,"DEV;DIS;CC","Housing & urban areas, recreational activities, and habitat shifting & alteration","Decreasing","Highest priority Waterbird Plan Only a few breeding colonies",NA,5,1,3,2
"Fish","","Syngnathidae","Syngnathus fuscus","Northern pipefish",NA,NA,1,NA,1,1,NA,"N","Y","N",NA,NA,NA,"DEV;POL","Housing & urban areas, commercial & industrial areas, tourism & recreation areas, domestic & urban waste water, and agricultural & forestry effluents","Unknown",NA,NA,3,1,1,NA
"Bird","Shorebird","Emberizidae","Ammodramus caudacutus","Saltmarsh sparrow",NA,3,4,5,4,3,2,"Y","N","Y",2,NA,2,"DEV;TRA;NAT;INV;POL;CC","Housing & urban areas, roads & railroads, other ecosystem modifications, invasive non-native/alien species/diseases, problematic native species/diseases, industrial & military effluents, agricultural & forestry effluents, habitat shifting & alteration, and storms & flooding","Decreasing",NA,NA,6,2,3.5,2
"Bird","Gull","Laridae","Larus smithsonianus","American herring gull",NA,NA,1,NA,NA,NA,NA,"N","N","N",NA,NA,2,"EN;BIO;CC","Renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, and habitat shifting & alteration","Decreasing",NA,NA,1,1,1,2
"Bird","Shorebird","Pandionidae","Pandion haliaetus","Osprey",NA,NA,1,NA,1,2,NA,"N","Y","N",NA,NA,NA,"EN;BIO;DIS;POL","Renewable energy, hunting & trapping terrestrial animals, recreational activities, and agricultural & forestry effluents","Increasing",NA,NA,3,1,1.33333333333333,NA
"Bird","Seabird","Alcidae","Alca torda","Razorbill",NA,NA,2,NA,1,2,NA,"N","N","N",NA,NA,2,"EN;BIO;INV;POL;CC","Mining & quarrying, renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, invasive non-native/alien species/diseases, industrial & military effluents, temperature extremes, and storms & flooding","Decreasing",NA,NA,3,1,1.66666666666667,2
"Bird","Seaduck","Anatidae","Clangula hyemalis","Long-tailed duck",NA,NA,3,NA,1,1,NA,"Y","N","N",NA,NA,2,"EN;BIO;INV;POL;CC","Oil & gas drilling, mining & quarrying, renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, invasive non-native/alien species/diseases, viral/prion-induced diseases, industrial & military effluents, and habitat shifting & alteration","Decreasing",NA,NA,3,1,1.66666666666667,2
"Bird","Seaduck","Anatidae","Melanitta fusca","Velvet scoter",NA,NA,3,NA,NA,NA,NA,"N","N","N",NA,NA,2,"EN;BIO;INV;POL;CC","Oil & gas drilling, mining & quarrying, renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, invasive non-native/alien species/diseases, viral/prion-induced diseases, industrial & military effluents, and habitat shifting & alteration","Decreasing",NA,NA,1,1,3,2
"Bird","Seabird","Sulidae","Morus bassanus","Northern gannet",NA,NA,1,NA,1,1,NA,"Y","N","N",NA,NA,NA,"EN;BIO;POL","Renewable energy, fishing & harvesting aquatic resources, and garbage & solid waste","Increasing",NA,NA,3,1,1,NA
