"Taxon","Subtaxon","Family","Scientific.Name","Common.Name","ESA","MESA","IUCN","RSGCN","G.Rank","S.Rank","USFWS","SGCN","BHHA","Priority.at.risk.Species","Thresholds","CCVA","Threats_CC","Threats","Description.of.Threats","Pop..Trend","Other","CCVA.Source","Total...of.Conservation.Sources","Total...of.Climate.Sources","Conservation.Rank","Climate.Rank"
"Invertebrate","","Diastylidae","Diastylis polita","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Diastylidae","Diastylis sculpta","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Spionidae","Dipolydora quadrilobata","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Tubulariidae","Ectopleura crocea","Tubularian hydroid",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Tubulariidae","Ectopleura larynx","Ringed tubularia",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Idoteidae","Edotia triloba","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Electridae","Einhornia crustulenta","Sea mat",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Electridae","Electra pilosa","Hairy sea mat",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Enchytraeidae","Enchytraeus albidus","White worm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Pharidae","Ensis ensis","Sword razor",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Pharidae","Ensis leei","Atlantic jackknife clam / razor clam",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Phyllodocidae","Eteone longa","Bristle worm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Thoridae","Eualus pusiolus","Doll eualid shrimp",NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA
"Invertebrate","","Eudendriidae","Eudendrium dispar","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Phyllodocidae","Eumida sanguinea","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Euplanidae","Euplana gracilis","Sleder flatworm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Naticidae","Euspira heros","Northern moon snail",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Naticidae","Euspira triseriata","spotted moonsnail",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Rissoidae","Frigidoalvania carinata","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Gammaridae","Gammarus mucronatus","Scud",NA,NA,NA,NA,NA,NA,NA,"N","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Gammaridae","Gammarus oceanicus","Scud/Sideswimmers",NA,NA,NA,NA,NA,NA,NA,"N","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Nephtheidae","Gersemia rubiformis","Sea strawberry",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Mytilidae","Geukensia demissa","Ribbed mussel",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Callianassidae","Gilvossius setimanus","Short-browed mud shrimp",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Planorbidae","Gyraulus parvus","ash gryo",NA,NA,1,NA,1,2,NA,"N","N",NA,NA,NA,NA,NA,NA,"Stable",NA,NA,3,0,1.33333333333333,NA
"Invertebrate","","Halichondriidae","Halichondria bowerbanki","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Halichondriidae","Halichondria panicea","Breadcrumb sponge",NA,NA,NA,NA,1,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA
"Invertebrate","","Haminoeidae","Haminella solitaria","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Polynoidae","Harmothoe extenuata","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Polynoidae","Harmothoe imbricata","Scale worm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Phoxocephalidae","Harpinia propinqua","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Echinasteridae","Henricia sanguinolenta","Blood star",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Anomiidae","Heteranomia squamula","Prickly jingle scallop",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Mysidae","Heteromysis formosa","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Hiatellidea","Hiatella arctica","Wrinkled rock borer",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Hydractiniidae","Hydractinia echinata","Snailfur",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Idoteidae","Idotea balthica","Baltic isopod",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Idoteidae","Idotea phosphorea",NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Nassariidae","Ilyanassa obsoleta","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Nassariidae","Ilyanassa trivittata","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Isodictyidae","Isodictya palmata","",NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA
"Invertebrate","","Janiridae","Jaera albifrons",NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Ischyroceridae","Jassa marmorata","Tube building amphipod",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Membraniporidae","Jellyella tuberculata","Bryozoan",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Littorinidae","Lacuna vincta","Northern lacuna",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Orbiniidae","Leitoscoloplos fragilis","Segmented worm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Orbiniidae","Leitoscoloplos robustus","Segmented worm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Polynoidae","Lepidonotus squamatus","Twelve-scaled worm",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Corophiidae","Leptocheirus pinguis","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Leucosoleniidae","Leucosolenia botryoides","",NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA
"Invertebrate","","Epialtidae","Libinia emarginata","Spider crab",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Tellinidae","Limecola balthica","Baltic macoma",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Lineidae","Lineus ruber","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Littorinidae","Littorina obtusata","Smooth periwinkle",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Littorinidae","Littorina saxatilis","Rough periwinkle",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Amnicolidae","Lyogyrus granum","squat duskysnail",NA,NA,1,NA,1,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,"Stable",NA,NA,2,0,1,NA
"Invertebrate","","Lyonsiidae","Lyonsia hyalina","Glassy lyonsia",NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA
"Invertebrate","","Tellinidae","Macoma calcarea","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Tellinidae","Macoma nasuta","Bent nosed clam",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Enchytraeidae","Marionina southerni",NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Capitellidae","Mediomastus californiensis","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Ellobiidae","Melampus bidentatus","Coffee bean snail",NA,NA,NA,NA,1,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA
"Invertebrate","","Melitidae","Melita nitida","Gammarid amphipod",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Metridinidae","Metridia longa","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Metridinidae","Metridia lucens lucens","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Metridiidae","Metridium senile","Clonal plumose anemone/Frilled anemone",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Mytilidae","Modiolus modiolus","Northern Horse Mussel",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Corophiidae","Monocorophium insidiosum","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Mysidae","Neomysis americana","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Nephtyidae","Nephtys caeca",NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Nephtyidae","Nephtys ciliata","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Nephtyidae","Nephtys incisa","Cat worm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Nephtyidae","Nephtys pente","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Lumbrineridae","Ninoe nigripes","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Muricidae","Nucella lapillus","Atlantic Dog Whelk",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,"Declining",NA,0,0,NA,NA
"Invertebrate","","Campanulariidae","Obelia dichotoma","Sea plume",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Campanulariidae","Obelia geniculata","Knotted thread hydroid",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Oithonidae","Oithona similis","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Onchidorididae","Onchidoris bilamellata","Rough-mantled doris",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Onchidorididae","Onchidoris muricata","Fuzzy onchidoris",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Opheliidae","Ophelina acuminata","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Ophiopholidae","Ophiopholis aculeata","Daisy brittle star",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Talitridae","Orchestia grillus","Beach hopper",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Tryphosidae","Orchomenella minuta","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Ovalipidae","Ovalipes ocellatus","Lady crab",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Paguridae","Pagurus acadianus","Acadian hermit crab",NA,NA,NA,NA,1,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA
"Invertebrate","","Paguridae","Pagurus longicarpus","Long-clawed hermit crab",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Paguridae","Pagurus pollicaris","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Palaemonidae","Palaemon pugio","Daggerblade grass shrimp",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Polynoidae","Palio dubia","Nudibranch",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Pandalidae","Pandalus montagui","",NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA
"Invertebrate","","Phyllodocidae","Paranaitis speciosa","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Syllidae","Parexogone hebes","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Pectinariidae","Pectinaria gouldii","Ice Cream Cone worm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Golfingiidae","Phascolopsis gouldii","Peanut worm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Flabelligeridae","Pherusa affinis","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Photidae","Photis pollex","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Phyllodocidae","Phyllodoce arenae","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Phyllodocidae","Phyllodoce maculata",NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Talitridea","Platorchestia platensis","Sand flea",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Terebellidae","Polycirrus eximius","Bristle worm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Pontogeneiidae","Pontogeneia inermis","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Spionidae","Prionospio steenstrupi","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Hyalidae","Ptilohyale plumulosus","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Unionidae","Pyganodon cataracta","Eastern floater",NA,NA,NA,NA,1,1,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA
"Invertebrate","","Rhincalanidae","Rhincalanus cornutus","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Pyramidellidae","Sayella fusca","Brown sayella",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Lumbrineridae","Scoletoma verrilli","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Archaeobalanidae","Semibalanus balanoides","Northern rock barnacle",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Solasteridae","Solaster endeca","Purple sunstar",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Spionidae","Spio filicornis","Bristleworm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Spionidae","Spio setosa",NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Spionidae","Spiophanes bombyx",NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Serpulidae","Spirorbis spirorbis","Sinistral spiral tubeworm/Calcareous tubeworm",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Spionidae","Streblospio benedicti","Bar gilled mud worm",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Lottidae","Testudinalia testudinalis","Common Tortoiseshell Limpet",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Cirratulidae","Tharyx acutus","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Tiaropsidae","Tiaropsis multicirrata","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Nassariidae","Tritia obsoleta","Mud snail",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Nassariidae","Tritia trivittata","Threeline mud snail",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Naididae","Tubificoides benedii",NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Tubulariidae","Tubularia crocea","Tubular hydroid",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Talitridae","Uhlorchestia uhleri","Beachhopper",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Unciolidae","Unciola irrorata","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Invertebrate","","Xylophagaidae","Xylonora atlantica","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Bird","Shorebird","Phalacrocoracidae","Phalacrocorax auritus","Double-crested cormorant",NA,NA,1,NA,NA,NA,NA,"Y","Y","N",NA,NA,NA,"POL","Agricultural & forestry effluents","Increasing","Only a few breeding colonies left",NA,1,1,1,NA
"Bird","Shorebird","Strigidae","Bubo scandiacus","Snowy owl",NA,NA,3,NA,2,4,NA,"N","N","N",NA,NA,2,"TRA;BIO;CC","Roads & railroads, utility & service lines, flight paths, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, and habitat shifting & alteration","Decreasing",NA,NA,3,1,3,2
"Fish","","Labridae","Tautoga onitis","Tautog",NA,NA,3,NA,NA,NA,NA,"N","Y","N",NA,4,NA,"BIO;DIS","Fishing & harvesting aquatic resources and recreational activities","Decreasing",NA,"Hare et al. 2016 NEVA",1,2,3,4
"Invertebrate","","Limulidae","Limulus polyphemus","Atlantic Horseshoe crab",NA,NA,3,NA,1,NA,NA,"N","Y",NA,NA,4,2,"BIO;NAT;CC","Fishing & harvesting aquatic resources, ecosystem modifications, habitat shifting & alteration","Decreasing",NA,"Hare et al. 2016 NEVA",2,2,2,3
"Fish","","Clupeidae","Alosa sapidissima","American Shad",NA,NA,1,5,1,3,NA,"Y","Y","N",NA,4,NA,"BIO;NAT;POL","Fishing & harvesting aquatic resources, dams & water management/use, domestic & urban waste water, industrial & military effluents, and agricultural & forestry effluents","Unknown",NA,"Hare et al. 2016 NEVA",4,2,2.5,4
"Fish","","Moronidae","Morone saxatilis","Striped Bass",NA,NA,1,NA,1,1,NA,"N","Y","N",NA,4,NA,"BIO;NAT;POL","Fishing & harvesting aquatic resources, dams & water management/use, domestic & urban waste water, and industrial & military effluents","Unknown",NA,"Hare et al. 2016 NEVA",3,2,1,4
"Invertebrate","","Ostreidae","Crassostrea virginica","Eastern oyster",NA,NA,NA,NA,3,NA,NA,"N","Y",NA,2,4,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,2,3,3
"Invertebrate","","Myidae","Mya arenaria","Softshell clam",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,2,4,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",0,2,NA,3
"Fish","","Osmeridae","Osmerus mordax","Rainbow Smelt",NA,NA,1,NA,1,3,NA,"N","Y","N",NA,4,NA,NA,NA,"Unknown",NA,"Hare et al. 2016 NEVA",3,1,1.66666666666667,4
"Fish","","Pleuronectidae","Pseudopleuronectes americanus","Winter Flounder",NA,NA,NA,NA,1,NA,NA,"N","Y","N",NA,4,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,4
"Invertebrate","","Arcticidae","Arctica islandica","Ocean quahog",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,4,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",0,1,NA,4
"Invertebrate","","Pectinidae","Argopecten irradians","Bay Scallop",NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA,4,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,4
"Invertebrate","","Veneridae","Mercenaria mercenaria","Northern quahog",NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA,4,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,4
"Invertebrate","","Mytilidae","Mytilus edulis","Blue mussel",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,4,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",0,1,NA,4
"Fish","","Clupeidae","Alosa pseudoharengus","Alewife",NA,NA,1,4,1,3,2,"Y","Y","Y",NA,4,NA,"NAT","Dams & water management/use","Unknown",NA,"Hare et al. 2016 NEVA",5,2,2.2,4
